property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,170.0,3.0,2,2.0,new property,850.0,0,0,medium,1.0,mid floor,0.82
flat,235.0,2.0,2,2.0,new property,1226.0,1,0,medium,1.0,high floor,0.95
flat,262.0,2.0,2,1.0,new property,1000.0,0,0,medium,1.0,low floor,0.32
flat,240.0,3.0,4,4.0,Relatively New,1615.0,1,0,high,0.0,high floor,1.6
flat,127.0,2.0,2,1.0,Relatively New,582.0,0,1,medium,0.0,high floor,0.48
flat,57.0,4.0,4,4.0,new property,4842.0,1,0,high,1.0,low floor,7.5
flat,133.0,3.0,3,4.0,Relatively New,2116.0,1,0,medium,2.0,low floor,2.0
flat,127.0,3.0,4,3.0,Relatively New,1710.0,1,0,medium,0.0,high floor,1.9
house,111.0,3.0,2,1.0,old property,1185.51,0,0,medium,1.0,mid floor,1.2
house,161.0,3.0,3,2.0,Moderately Old,1350.0,1,0,medium,2.0,mid floor,4.5
flat,91.0,2.0,2,1.0,Relatively New,667.0,0,0,medium,1.0,mid floor,0.4
house,134.0,3.0,2,0.0,Relatively New,2360.0,0,0,medium,1.0,mid floor,1.55
flat,37.0,2.0,2,2.0,Relatively New,1222.0,0,0,medium,2.0,high floor,1.6
flat,134.0,3.0,4,3.0,Relatively New,2339.0,1,0,medium,2.0,low floor,2.25
flat,207.0,4.0,4,4.0,Relatively New,2194.0,1,0,low,0.0,high floor,2.77
house,65.0,2.0,4,2.0,Relatively New,846.0,0,0,high,1.0,mid floor,1.2
flat,240.0,3.0,4,3.0,Relatively New,1805.0,1,0,high,2.0,low floor,1.55
flat,231.0,2.0,2,3.0,Relatively New,1638.0,0,1,medium,0.0,high floor,1.09
flat,215.0,2.0,2,3.0,new property,1400.0,0,0,medium,0.0,high floor,1.15
flat,231.0,3.0,4,4.0,new property,2179.0,0,1,medium,2.0,high floor,1.77
flat,165.0,2.0,2,1.0,old property,734.0,0,0,high,1.0,mid floor,0.85
flat,132.0,2.0,2,4.0,Relatively New,1236.0,0,0,high,1.0,high floor,0.9
flat,164.0,2.0,2,3.0,Under Construction,1307.0,0,0,medium,2.0,mid floor,1.2
flat,154.0,1.0,1,1.0,Moderately Old,665.0,0,0,high,2.0,high floor,0.6
house,266.0,8.0,5,4.0,old property,3240.0,1,1,high,1.0,high floor,9.0
house,266.0,7.0,7,4.0,Moderately Old,2475.0,1,1,low,0.0,high floor,7.0
flat,37.0,4.0,2,4.0,old property,1382.0,0,0,medium,1.0,mid floor,0.9
house,73.0,1.0,1,0.0,Moderately Old,450.0,0,0,medium,1.0,mid floor,0.4
house,134.0,4.0,4,4.0,new property,5400.0,1,0,high,1.0,mid floor,5.65
flat,204.0,2.0,2,3.0,Under Construction,1676.0,0,0,medium,2.0,low floor,2.15
house,280.0,6.0,6,3.0,Moderately Old,2880.0,1,1,low,2.0,high floor,4.4
flat,226.0,2.0,2,3.0,Relatively New,1361.0,0,0,high,2.0,low floor,0.64
flat,207.0,3.0,3,3.0,Under Construction,2267.0,1,0,medium,1.0,low floor,2.86
flat,208.0,3.0,3,3.0,Moderately Old,2125.0,1,1,high,0.0,high floor,3.5
